Fecha,cod_ine,provincia,Casos,Fallecidos,Hospitalizados,UCI,z_newCases
2020-04-12,4,Almería,0,2,2,0,-0.5854672114218318
2020-04-12,5,Ávila,19,5,10,0,-0.2903622356128256
2020-04-12,6,Badajoz,2,3,2,0,-0.4804097574828784
2020-04-12,7,Balears,12,2,11,1,-0.460257878905829
2020-04-12,8,Barcelona,463,112,185,11,-0.369802475410422
2020-04-12,9,Burgos,36,3,9,0,-0.34706410760224665
2020-04-12,10,Cáceres,16,8,8,1,-0.4064488006465993
2020-04-12,11,Cádiz,28,4,5,2,-0.5627800542296372
2020-04-12,12,Castellón/Castelló,26,5,7,1,-0.35259904804637343
2020-04-12,13,Ciudad Real,24,20,29,1,-0.43298655282511894
